productname,ratingcount,topreviews
Crucial P3 500GB M.2 PCIe Gen3 NVMe Internal SSD - Up to 3500MB/s - CT500P3SSD8,"45,548 ratings","[{'title': 'Excellent NVMe SSD – Fast, Reliable, and Affordable', 'rating': '5.0 out of 5 stars'}, {'title': 'Tons of storage. Fast., Easy to install. No issues, great product!', 'rating': '5.0 out of 5 stars'}, {'title': 'Great for fast storage.', 'rating': '5.0 out of 5 stars'}, {'title': 'Feels Like a new PC from the future', 'rating': '5.0 out of 5 stars'}, {'title': 'Tons of space, small footprint', 'rating': '4.0 out of 5 stars'}]"
"Samsung 980 PRO M.2 NVMe SSD (MZ-V8P2T0BW), 2 TB, PCIe 4.0, 7,000 MB/s Read, 5,000 MB/s Write, Internal Solid State Drive","31,764 ratings","[{'title': 'Samsung 980 PRO M.2 1TB SSD with a built-in heatsink Review', 'rating': '5.0 out of 5 stars'}, {'title': 'Rapid', 'rating': '5.0 out of 5 stars'}, {'title': 'Best m.2 for gaming and price raito', 'rating': '5.0 out of 5 stars'}, {'title': 'Solid buy - PS5 compatible.', 'rating': '5.0 out of 5 stars'}]"
"Ediloca EN605 256GB M.2 SSD, NVMe1.3 PCIe Gen3 x4 SSD Internal Hard Drive, M.2 2280 - Read/Write Speed up to 2150/1300 MB/s - Internal SSD Compatible with Laptop & PC Desktop…","3,183 ratings","[{'title': 'Ediloca EN855 ，I highly recommend this SSD to gamers and professionals alike—it’s a game-changer!', 'rating': '5.0 out of 5 stars'}, {'title': 'Nothing short of exceptional', 'rating': '5.0 out of 5 stars'}, {'title': 'As advertised. Value for money.', 'rating': '5.0 out of 5 stars'}, {'title': 'Good for PS5', 'rating': '4.0 out of 5 stars'}, {'title': 'Works on ps5 easy to install', 'rating': '5.0 out of 5 stars'}, {'title': 'Great SSD for the price', 'rating': '5.0 out of 5 stars'}, {'title': 'Works perfectly', 'rating': '5.0 out of 5 stars'}, {'title': 'Hyper-Cache on my NAS', 'rating': '5.0 out of 5 stars'}]"
"Samsung 980 PRO SSD with Heatsink 2TB PCIe Gen 4 NVMe M.2 Internal Solid State Hard Drive, Heat Control, Max Speed, PS5 Compatible, MZ-V8P2T0CW","3,323 ratings","[{'title': 'great storage', 'rating': '5.0 out of 5 stars'}, {'title': 'Ingredients for a happy ps5', 'rating': '5.0 out of 5 stars'}, {'title': 'Quality upgrade for PS5', 'rating': '5.0 out of 5 stars'}, {'title': 'Brilliant!', 'rating': '5.0 out of 5 stars'}, {'title': 'Blazing fast, great value', 'rating': '5.0 out of 5 stars'}, {'title': 'Compatible for PS5', 'rating': '5.0 out of 5 stars'}, {'title': 'Good storage and cheaper that rivals', 'rating': '4.0 out of 5 stars'}, {'title': 'Great value and works perfectly', 'rating': '5.0 out of 5 stars'}]"
"Lexar NM620 256GB SSD, M.2 2280 PCIe Gen3x4 NVMe 1.4 Internal SSD, Up to 3500MB/s Read, 1300MB/s Write, 3D NAND Flash Internal Solid State Drive for PC Enthusiasts and Gamers (LNM620X256G-RNNNG)","1,216 ratings","[{'title': 'Not the fastest but nonetheless perfectly fine.', 'rating': '5.0 out of 5 stars'}, {'title': 'Does what it promises', 'rating': '5.0 out of 5 stars'}, {'title': 'Cheapest 4th gen 2TB Nvme when purchased', 'rating': '5.0 out of 5 stars'}, {'title': '🚀 Lexar NQ790 2TB SSD: Speed Demon in a Compact Package', 'rating': '4.0 out of 5 stars'}, {'title': 'Excellent NVME drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Internal ssd for ps5', 'rating': '5.0 out of 5 stars'}, {'title': 'Windows 11 compatibility sorted', 'rating': '5.0 out of 5 stars'}, {'title': 'A cheaper and, IMO, better option....', 'rating': '5.0 out of 5 stars'}]"
"ORICO 1TB NVMe SSD PCIe 4.0- Up to 7000MB/s, M.2 SSD 2280 PCIe 4.0X4 Internal Solid State Drive SSD, Fast Heat Dissipation, Compatible with macOS Windows for Gamers and Creators-O7000 (1TB)",569 ratings,"[{'title': 'Great gen4 nvme drive!', 'rating': '5.0 out of 5 stars'}, {'title': 'Super Quick Drive at a Good Price', 'rating': '5.0 out of 5 stars'}, {'title': 'It is compatible with ps5.', 'rating': '4.0 out of 5 stars'}, {'title': 'Great SSD', 'rating': '5.0 out of 5 stars'}, {'title': 'So far so good...', 'rating': '5.0 out of 5 stars'}, {'title': 'shocking quality ...', 'rating': '1.0 out of 5 stars'}, {'title': 'Good speed', 'rating': '5.0 out of 5 stars'}, {'title': 'First time purchase of this Brand', 'rating': '5.0 out of 5 stars'}]"
"ORICIO 128GB M.2 NVMe SSD, PCIe Gen3x4 2280 SSD - Up to 1700MB/s, Internal Solid State Drive with TLC NAND Flash, Compatible with Raspberry Pi 5 Desktop Laptop - D10",290 ratings,"[{'title': 'Price comparable with a ""standard"" 256GB USB memory stick but much faster.', 'rating': '5.0 out of 5 stars'}, {'title': 'Good for the price', 'rating': '5.0 out of 5 stars'}, {'title': 'Fine for pcie 3.', 'rating': '4.0 out of 5 stars'}, {'title': 'Fast ssd', 'rating': '5.0 out of 5 stars'}, {'title': ""Can't say anything bad really"", 'rating': '5.0 out of 5 stars'}, {'title': 'Quick, no fuss.', 'rating': '5.0 out of 5 stars'}, {'title': 'Good value', 'rating': '5.0 out of 5 stars'}, {'title': 'Works well', 'rating': '5.0 out of 5 stars'}]"
"Fikwot FN501 Pro NVMe SSD 256GB M.2 2280 Up to 2800MB/s PCIe Gen3 x4 3D TLC NAND Internal Solid State Drive, SLC Cache Compatible with Laptops & Desktops","4,194 ratings","[{'title': 'these are much faster than sata ssd', 'rating': '5.0 out of 5 stars'}, {'title': 'Perfect for the price!', 'rating': '5.0 out of 5 stars'}, {'title': 'Good quality fast drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Better Than anticipated', 'rating': '4.0 out of 5 stars'}, {'title': 'Good read speeds and reasonable write speeds.', 'rating': '5.0 out of 5 stars'}, {'title': 'It worked perfectly on PS5', 'rating': '5.0 out of 5 stars'}, {'title': 'Corrupted', 'rating': '1.0 out of 5 stars'}, {'title': 'More space... more games', 'rating': '5.0 out of 5 stars'}]"
"fanxiang M.2 SSD - 512GB SSD Up To 3200MB/s, PCIe Gen3x4 2280, NVMe SSD with Graphene Cooling Sticker, 3D NAND TLC SSD with SLC cache, Internal Solid State Drives M2 SSD for Laptop Desktop PC","4,706 ratings","[{'title': 'My Ultimate Storage Upgrade', 'rating': '5.0 out of 5 stars'}, {'title': 'Exactly what i needed more space!', 'rating': '5.0 out of 5 stars'}, {'title': 'Exceptional Performance and Reliability – A Must-Have SSD M.2 Drive (2+ Years of Use)', 'rating': '5.0 out of 5 stars'}]"
"Silicon Power PCIe M.2 NVMe SSD 512GB Gen3x4 R/W up to 2, 200/1, 600MB/s Internal SSD","4,357 ratings","[{'title': 'Bought for PS5 storage, 5* thus far', 'rating': '5.0 out of 5 stars'}, {'title': 'Small drive, small cost, big value and speeds', 'rating': '5.0 out of 5 stars'}, {'title': 'Super fast and was great value at the time', 'rating': '5.0 out of 5 stars'}, {'title': 'Works great with ps5', 'rating': '4.0 out of 5 stars'}, {'title': '4tb version', 'rating': '5.0 out of 5 stars'}, {'title': 'VERY good', 'rating': '5.0 out of 5 stars'}, {'title': 'I would suggest you to get this because it is good for your budget and money', 'rating': '5.0 out of 5 stars'}, {'title': 'WOW', 'rating': '5.0 out of 5 stars'}]"
"SABRENT M.2 NVMe SSD to PCIe x16 Tool-Free Add-in Card (AIC) with Aluminum Heatsink, M.2 PCIe Adapter for Gen5 SSDs PCIe 5.0, Backwards Compatible with Previous PCIe Generations (EC-TFPE)",224 ratings,"[{'title': 'Really good product', 'rating': '5.0 out of 5 stars'}, {'title': 'Works as described', 'rating': '5.0 out of 5 stars'}, {'title': 'Cheap and it works', 'rating': '5.0 out of 5 stars'}, {'title': 'does the job', 'rating': '4.0 out of 5 stars'}, {'title': 'At last found one that works', 'rating': '5.0 out of 5 stars'}, {'title': 'Works well.', 'rating': '5.0 out of 5 stars'}, {'title': 'Bling light surprise!', 'rating': '5.0 out of 5 stars'}, {'title': 'V.Good', 'rating': '5.0 out of 5 stars'}]"
"Timetec 256GB MAC SSD NVMe PCIe Gen3x4 3D NAND TLC Read Up to 1,950MB/s Compatible with Apple MacBook Air (2013-2015, 2017), MacBook Pro (2013-2015), iMac (2013-2019), Mac Pro (2013), Mac Mini (2014)","1,389 ratings","[{'title': 'SSD worked with out issues', 'rating': '5.0 out of 5 stars'}, {'title': 'Great value, saved me the cost of a new Mac', 'rating': '5.0 out of 5 stars'}, {'title': 'Failed after a few days', 'rating': '1.0 out of 5 stars'}, {'title': 'Works Well', 'rating': '5.0 out of 5 stars'}, {'title': 'worth of money...', 'rating': '4.0 out of 5 stars'}, {'title': 'Speeded up my Macbook significantly', 'rating': '5.0 out of 5 stars'}, {'title': 'Upgrade PCI', 'rating': '5.0 out of 5 stars'}, {'title': 'Thanks. This drive working fine.', 'rating': '5.0 out of 5 stars'}]"
